id,name,email,mobile,IMEI,osType,balance,razorpayPaymentId,razorpayPaymentDate,plan,roleId,emailVerifiedAt,password,invoiceId,profileImage,authKey,rememberToken,parentId,createdAt,updatedAt,deletedAt,userId,isPriyank,balanceRenewalDate,balanceNextRenewDate
1,Anil K,sunil@nimap.com,3444945934,,,10,,,,3,,$2y$10$K2XGgTQUt2/yRG2T5cYO3epcLpgsLWcZc/P6Q228lIsyxkUy9LVwq,,,,,0,,,,0,false,,
2,Sangeet D,sangeet@nimap.com,8343455289,,,10,,,,3,,$2y$10$NM8IKbjVmR6gcnrAtFUopOXJxfnx7xnHFvWZkwItv6ZtFF/rwzGJC,,,,,0,,,,0,false,,
3,Priyank R,priyank@nimap.com,8667555566,,,10,,,,3,,$2y$10$rtdsSAMiEnvzzJZZmPWh2.cZseU/MGeotsf1CBeQPXfibGB/scRGG,,,,,0,,,,0,false,,
4,test email,test@email.com,1111223344,,,10,,,,3,,$2y$10$.cVN./Q00Suvf6nHywVA2.im6G0kjyP0pMTBlS1Z5Q5mPxZ.3MNT6,,,,,0,,,,0,false,,
5,last user,last@user.com,5988976665,,,20,,,,3,,$2y$10$dCzP2.QPTpuHVOzBJDLtLe0mvsmuchJtqfWmrc4wfOoqw8sou0YYW,,,,,0,,,,0,false,,
6,Anil K,sunil@nimap.com,3444945934,,,10,,,,3,,$2y$10$ehB4IrwB4wxRRa1gnw4oq.rUUYxdbndJKScxdZgHWHTKH.asQlJky,,,,,0,,,,0,false,,
7,Sangeet D,sangeet@nimap.com,8343455289,,,10,,,,3,,$2y$10$ZprCl3M1KwXXjocSZ4Z5ke75uKJj3H75uIbzxVrXz6wEKpgejcNKS,,,,,0,,,,0,false,,
8,Priyank R,priyank@nimap.com,8667555566,,,10,,,,3,,$2y$10$ow9nEGLS2kL06get7TR6dOVUpCID.5RAWv./dhLw6E76vANix5f.a,,,,,0,,,,0,false,,
9,test email,test@email.com,1111223344,,,10,,,,3,,$2y$10$qSnKIwCRd6VhuWDzZqJeAeVx3oNk0NulT8QZzlD.QV58Gdvykr5Wq,,,,,0,,,,0,false,,
10,last user,last@user.com,5988976665,,,20,,,,3,,$2y$10$Etvmjd5f82MQo/YqvZizc.PwC.ysdcGGmjQbQd.VNhWBk2MQclQdu,,,,,0,,,,0,false,,
11,Anil K,sunil@nimap.com,3444945934,,,10,,,,3,,$2y$10$J8ei90yQv0co/.CzR33LA.6zEIWwuMhoX81v86dVnmMpARGtvsKeW,,,,,0,,,,0,false,,
12,Sangeet D,sangeet@nimap.com,8343455289,,,10,,,,3,,$2y$10$V.rd8iX3OLTrM/dyHzJHSePD13/gO6ZiXlHfWJQZvD6KO2O4s0IMS,,,,,0,,,,0,false,,
13,Priyank R,priyank@nimap.com,8667555566,,,10,,,,3,,$2y$10$k80LWS6NRcnUumzOimZx4eKN5FOKKfIWI6bOi.VpmwtOzC/1myI/S,,,,,0,,,,0,false,,
14,test email,test@email.com,1111223344,,,10,,,,3,,$2y$10$Mvzz1n3HnWPkIpBfiEFKJuwtgjNvALmOpdzUL6483Sy/cKKOM1S8y,,,,,0,,,,0,false,,
15,last user,last@user.com,5988976665,,,20,,,,3,,$2y$10$5rTgM9OyI2ZAjwZwJE7kaO26fjlG9F/sOnSZ8fV8bgSupsDs.NV3e,,,,,0,,,,0,false,,
16,Anil K,sunil@nimap.com,3444945934,,,10,,,,3,,$2y$10$6lZEXTJOpSLIlO9QZj7uLO0TymDdYuyhmR4HYyUqPisbUntJhnc0S,,,,,0,,,,0,false,,
17,Sangeet D,sangeet@nimap.com,8343455289,,,10,,,,3,,$2y$10$JZ3JpS/HtEnsGoYnUcDKtuUQAAalnJRTRGCznysf.FrmBJgnzAn.O,,,,,0,,,,0,false,,
18,Priyank R,priyank@nimap.com,8667555566,,,10,,,,3,,$2y$10$6eJQPyUxnua5GhkR9FVeXe3z/mNvva4EEww4yxzY2ed7RX2rw32.m,,,,,0,,,,0,false,,
19,test email,test@email.com,1111223344,,,10,,,,3,,$2y$10$MvKMk2n4SaOAlKLB3.MWkOXlQ5Ty4OlCNewlZZCnJDtlPDiFRFebK,,,,,0,,,,0,false,,
20,last user,last@user.com,5988976665,,,20,,,,3,,$2y$10$3qCzg0DLLX4lWNQJEajWaehSHD.OIXahnvrUxPXVZytP0uRtKRUji,,,,,0,,,,0,false,,
21,Anil K,sunil@nimap.com,3444945934,,,10,,,,3,,$2y$10$QRvQYV5HbjS0Jrjw1/.mZuQHW.uyu5hNrsq6IbcK8r9Jv1v73r42u,,,,,0,,,,0,false,,
22,Sangeet D,sangeet@nimap.com,8343455289,,,10,,,,3,,$2y$10$1.MCSBEO7IBNj2nXIcyZJuQ7AhVoxGPx.zsptUp9hsBkjrrafDNiK,,,,,0,,,,0,false,,
23,Priyank R,priyank@nimap.com,8667555566,,,10,,,,3,,$2y$10$H0vvdNIDeiCwk7nJ62piL.IAOyr16Kga3hSOlFfIXCpd5XjeZ2v/O,,,,,0,,,,0,false,,
24,test email,test@email.com,1111223344,,,10,,,,3,,$2y$10$wA073p5ki9wveDI46TdFqOmO6T6QtddIp36IG1WB6c6hnEczCQREG,,,,,0,,,,0,false,,
25,last user,last@user.com,5988976665,,,20,,,,3,,$2y$10$N7qPOxrUM0Ax04VX7AaB2O/TGdjAQoLoUVuWrhrZGvg8f2EF8tpQy,,,,,0,,,,0,false,,
26,Anil K,sunil@nimap.com,3444945934,,,10,,,,3,,$2y$10$1Q3EFkmsjdxSjz5XE.Uq1edyBasUwwRO0lhrhzUg8TEed7VXr/PuC,,,,,0,,,,0,false,,
27,Sangeet D,sangeet@nimap.com,8343455289,,,10,,,,3,,$2y$10$kgfYsAhP/8aLEmjjhp9Rou9TIFRztfY6pknWJmfaSsoK54YbjkEXS,,,,,0,,,,0,false,,
28,Priyank R,priyank@nimap.com,8667555566,,,10,,,,3,,$2y$10$QUSBQGG4zTBO.x3MGxzkYuC5x3vTTHEUXAyqffnL9ZDMthmnnlL52,,,,,0,,,,0,false,,
29,test email,test@email.com,1111223344,,,10,,,,3,,$2y$10$ZhcFcyP76NJbWH48MHPupeDzle2ynbjHO0uOiDnS9/kz4dMRisyBq,,,,,0,,,,0,false,,
30,last user,last@user.com,5988976665,,,20,,,,3,,$2y$10$wVFDRD0G9Bjt8Wu/UKYeqekqEKEiKu3p5aMkPjmvHzIJph23HFZK6,,,,,0,,,,0,false,,
